Dados de estrutura populacional de Miconia albicans em área de cerrado
Transect - número do transecto; Plot - número da parcela; x e y - coordenadas da parcela, FireSeverity - grau de queima; Nind - número de indivíduos
Type: Ad - apenas caules adultos; AdBr - caules adultos e rebrotas; Br - apenas rebrotas; Pl - plântulas; M - indivíduo morto
Transect	Plot	x	y	FireSeverity	Type	Nind
4	19	27.5	92.5	1	M	0
4	20	27.5	97.5	1	M	0
5	1	2.5	2.5	1	M	0
5	2	2.5	7.5	0.7647058824	M	0
5	3	2.5	12.5	0.328125	M	2
5	4	2.5	17.5	0.8666666667	M	1
5	5	2.5	22.5	0.8666666667	M	0
5	6	2.5	27.5	1	M	0
5	7	2.5	32.5	1	M	0
5	8	2.5	37.5	1	M	1
5	9	2.5	42.5	1	M	1
5	10	2.5	47.5	0.6170212766	M	0
5	11	2.5	52.5	0.9230769231	M	0
5	12	2.5	57.5	1	M	0
5	13	2.5	62.5	0.8709677419	M	0
5	14	2.5	67.5	1	M	1
5	15	2.5	72.5	1	M	0
5	16	2.5	77.5	0.6	M	0
5	17	2.5	82.5	1	M	0
5	18	2.5	87.5	1	M	0
5	19	2.5	92.5	1	M	0
5	20	2.5	97.5	1	M	0
1	1	102.5	2.5	0.2	Pl	0
1	2	102.5	7.5	0.7321428571	Pl	0
1	3	102.5	12.5	0.5714285714	Pl	0
1	4	102.5	17.5	0.5238095238	Pl	0
1	5	102.5	22.5	0.3333333333	Pl	0
1	6	102.5	27.5	0.5	Pl	0
1	7	102.5	32.5	0	Pl	0
1	8	102.5	37.5	0	Pl	1
1	9	102.5	42.5	0	Pl	0
1	10	102.5	47.5	0.0434782609	Pl	0
1	11	102.5	52.5	1	Pl	0
1	12	102.5	57.5	0.8958333333	Pl	0
1	13	102.5	62.5	0.9	Pl	0
1	14	102.5	67.5	1	Pl	0
1	15	102.5	72.5	NA	Pl	0
1	16	102.5	77.5	1	Pl	0
1	17	102.5	82.5	1	Pl	0
1	18	102.5	87.5	1	Pl	0
1	19	102.5	92.5	1	Pl	0
1	20	102.5	97.5	1	Pl	0
2	1	77.5	2.5	1	Pl	1
2	2	77.5	7.5	1	Pl	0
2	3	77.5	12.5	0.380952381	Pl	0
2	4	77.5	17.5	0.2537313433	Pl	2
2	5	77.5	22.5	0.4285714286	Pl	2
2	6	77.5	27.5	0.4285714286	Pl	2
2	7	77.5	32.5	0.1333333333	Pl	0
2	8	77.5	37.5	0.4782608696	Pl	0
2	9	77.5	42.5	0.1428571429	Pl	0
2	10	77.5	47.5	0.7894736842	Pl	0
2	11	77.5	52.5	0.5454545455	Pl	0
2	12	77.5	57.5	1	Pl	0
2	13	77.5	62.5	NA	Pl	0
2	14	77.5	67.5	1	Pl	0
2	15	77.5	72.5	0.9444444444	Pl	0
2	16	77.5	77.5	0.96875	Pl	0
2	17	77.5	82.5	0.75	Pl	0
2	18	77.5	87.5	1	Pl	0
2	19	77.5	92.5	1	Pl	0
2	20	77.5	97.5	0.9722222222	Pl	0
3	1	52.5	2.5	1	Pl	0
3	2	52.5	7.5	1	Pl	0
3	3	52.5	12.5	1	Pl	0
3	4	52.5	17.5	1	Pl	0
