Individuo	Fogo	AreaBasal	Altura
358	1	7.6090159468	118
359	1	3.9741147068	82
360	1	0.9346238144	46
361	1	0.9817477042	39
363	1	0.1963495408	32
364	1	1.1623892818	69
365	1	2.4975661596	84
366	1	3.9505527619	103
367	1	4.9401544478	150
368	1	0.0706858347	23
369	1	0.0706858347	26
370	1	3.7070793312	103
371	1	1.2330751165	116
372	1	7.4612825523	102
373	1	0.6047565858	90
374	1	1.4294246574	55
376	1	1.2723450247	86
377	1	1.7749998493	64
378	1	0.2591813939	33
379	1	3.2201324699	96
380	1	8.0267692299	230
381	1	44.2493325258	250
382	1	0.0314159265	12
384	1	1.3116149329	75
385	1	1.6257741982	62
388	1	0.3534291735	67
389	1	0.4555309348	65
389	1	0.1256637061	25
390	1	0.2277654674	50
391	1	0.3691371368	60
392	1	1.9556414269	170
393	1	0.4241150082	54
394	1	2.0734511514	96
395	1	0.5811946409	98
396	1	2.1284290228	115
397	1	1.3194689145	43
398	1	2.4516989069	120
399	1	0.5419247327	57
400	1	0.8325220532	72
401	1	3.6285395149	130
402	1	0.1256637061	23
403	1	0.3926990817	26
404	1	1.2330751165	84
405	1	0.2513274123	39
406	1	0.0706858347	15
407	1	1.2801990063	101
408	1	0.1256637061	29
409	1	0.9581857593	49
410	1	3.9976766517	105
411	1	0.3534291735	50
413	1	0.5733406593	39
414	1	0.1963495408	54
415	1	0.3769911184	44
416	1	0.0706858347	35
417	1	0.1413716694	31
418	1	0.5105088062	49
419	1	0.4398229715	56
420	1	0.5183627878	53
421	1	0.4241150082	44
422	1	0.4476769531	60
423	1	0.4241150082	25
424	1	0.9110618695	70
425	1	0.6361725124	68
426	1	1.2409290982	66
427	1	1.115265392	43
428	1	0.4633849164	26
429	1	0.730420292	29
430	1	0.6047565858	42
431	1	1.3744467859	71
432	1	0.6361725124	50
433	1	1.7828538309	66
434	1	5.0815261172	147
435	1	3.7699111843	120
436	1	3.0394908923	111
437	1	3.3780760406	77
438	1	4.5396013844	130
439	1	8.1367249728	160
440	1	0.4790928797	30
441	1	3.8170350741	107
442	1	0.7225663103	48
443	1	1.3665928043	91
444	1	5.4271013091	130
445	1	3.0316369107	86
446	1	5.6234508499	121
447	1	0.6754424205	55
448	1	0.1256637061	15
449	1	0.4398229715	43
450	1	0.1256637061	25
452	1	2.4111723616	102
453	1	2.4582962514	79
454	1	1.4215706757	49
455	1	1.7514379044	62
456	1	1.9006635554	102
457	1	0.730420292	32
458	1	0.5340707511	69
459	1	0.0706858347	22
460	1	8.6786497055	85
461	1	28.3371657354	105
462	1	35.2565235549	61
463	1	2.3954643984	70
464	1	2.7096236637	80
465	1	2.3247785637	82
466	1	4.6181412008	84
468	1	5.1387031035	59
469	1	0.8168140899	83
470	1	2.725331627	102
471	1	3.6756634047	120
472	1	4.398229715	100
473	1	4.4924774946	103
474	0	2.0106192983	16
475	0	2.7174776454	42
476	1	1.610066235	120
477	1	1.20165919	120
478	0	0.3848451001	32
479	0	0.9503317777	96
480	1	27.9523206353	180
481	0	8.7022116504	82
482	0	23.7582944428	230
483	1	16.4462375415	155
484	1	4.5945792559	86
485	1	19.5171443604	210
486	1	0.1413716694	40
487	1	1.1388273369	39
488	1	4.5081854579	160
489	1	3.1180307087	130
490	1	2.3404865269	100
491	1	0.4476769531	54
492	1	0.6832964022	18
493	1	0.2827433388	49
495	1	2.638937829	80
496	1	10.7128309487	160
497	1	3.2908183046	76
498	1	3.1730085801	125
499	1	1.4844025288	56
500	1	0.1963495408	20
501	1	9.3069682363	140
