Caule	Fogo	H	DAS
527	1	28	0.4
528	1	63	0.6
529	1	21	0.14
530	1	12	0.2
531	1	72	0.8
532	1	11	0.1
533	1	21	0.3
534	1	26	0.8
535	1	13	1
536	1	23	0.6
537	1	4	0.4
538	1	31	0.4
539	1	26	0.4
540	1	32	0.3
541	1	30	0.6
542	1	36	0.4
543	1	57	0.6
544	1	10	0.2
545	1	35	0.3
546	1	21	0.4
547	1	42	0.4
548	1	11	0.2
549	1	58	1.1
550	1	112	1.1
551	1	36	0.4
552	1	66	1.2
553	1	26	0.5
554	1	27	0.5
555	1	21	0.5
556	1	84	1
557	1	30	0.9
558	1	32	0.5
559	1	42	0.6
560	1	90	1.1
561	1	23	0.3
562	1	17	0.5
563	1	35	0.5
564	1	75	0.9
565	1	21	0.4
566	1	47	0.4
567	1	75	0.7
568	1	9	0.3
569	1	80	0.9
570	1	29	0.8
571	1	13	0.2
572	1	81	0.8
573	1	81	0.8
574	1	30	0.4
575	1	16	0.3
576	1	73	0.8
577	1	17	0.4
578	1	43	0.4
579	1	35	0.6
580	1	25	0.8
581	1	25	0.5
582	1	22	0.2
583	1	60	0.6
584	1	34	0.4
585	1	30	0.6
586	1	32	0.3
587	1	19	0.3
588	1	12	0.3
589	1	78	0.5
590	1	14	0.2
591	1	69	0.4
592	1	67	0.7
593	1	12	0.2
594	1	19	0.2
595	1	50	0.6
596	1	160	3.2
597	1	66	0.8
598	1	72	0.9
599	1	33	0.3
600	1	59	0.5
601	1	65	0.6
602	1	25	0.3
603	1	59	0.8
604	1	79	0.7
605	1	106	1.1
606	1	12	0.4
607	1	38	0.4
608	1	127	1.1
609	1	29	0.4
610	1	54	0.5
611	1	96	0.9
612	1	45	0.4
613	1	104	0.9
614	1	28	0.3
615	1	107	0.8
616	1	92	1
617	1	35	0.3
618	1	6	0.4
619	1	29	0.4
620	1	87	1.1
621	1	99	0.6
622	1	35	0.4
623	1	55	0.7
624	1	45	0.6
625	1	74	0.7
626	1	77	0.5
627	1	24	0.2
628	1	132	1.2
629	1	151	1.1
630	1	93	0.9
631	1	164	1.4
632	1	50	0.8
633	1	50	1.2
634	1	60	0.7
635	1	32	0.3
636	1	72	0.8
637	1	15	0.5
638	1	47	0.6
639	1	88	1.3
640	1	99	1.2
641	1	114	1.3
642	1	38	0.3
643	1	95	1.1
644	1	10	0.5
645	1	32	0.5
646	1	12	0.8
647	1	105	1.3
648	1	40	0.6
649	1	24	0.6
650	1	71	1.1
651	1	6	0.4
652	1	85	0.9
653	1	92	0.6
654	1	69	0.8
655	1	76	0.6
656	1	34	0.3
657	1	32	0.4
658	1	82	0.6
659	1	30	0.4
660	1	100	0.9
661	1	34	0.5
662	1	26	0.8
663	1	27	0.5
664	1	61	0.4
665	1	33	0.3
666	1	31	0.7
667	1	15	0.4
668	1	70	0.7
669	1	71	0.6
670	1	10	0.3
671	1	57	0.6
672	1	29	0.4
673	1	16	0.3
674	1	40	0.5
675	1	50	0.4
676	1	50	0.6
677	1	42	0.7
678	1	120	0.9
679	1	120	0.9
680	1	66	0.5
681	1	34	0.5
682	1	16	0.3
683	1	119	1
684	1	16	0.2
685	1	35	0.5
686	1	15	0.2
687	1	107	1.2
688	1	28	0.6
689	1	87	0.8
690	1	92	0.9
691	1	29	0.3
692	1	35	0.4
693	1	55	0.4
694	1	49	0.8
695	1	90	0.9
696	1	50	0.3
697	1	74	0.7
698	1	72	0.6
699	1	40	0.5
700	1	85	0.7
701	1	80	0.9
702	1	34	0.4
703	1	34	0.4
704	1	16	0.3
705	1	30	0.2
706	1	40	0.4
707	1	28	0.5
708	1	16	0.2
709	1	16	0.4
710	1	31	0.4
711	1	48	0.6
712	1	49	0.8
713	1	10	0.4
714	1	55	0.6
715	1	36	0.4
716	1	61	0.7
717	1	75	0.5
718	1	65	0.5
719	1	76	1
720	1	88	0.9
721	1	60	0.6
722	1	49	0.4
723	1	40	0.5
724	1	68	0.5
725	1	25	0.3
726	1	26	0.2
727	1	25	0.2
728	1	11	0.4
729	1	30	0.3
730	1	47	0.4
731	1	62	0.7
732	1	46	0.5
733	1	81	0.6
734	1	47	0.3
735	1	44	0.2
736	1	44	0.7
737	1	41	0.6
738	1	32	0.3
739	1	25	0.3
740	1	112	0.8
741	1	41	0.2
742	1	20	0.4
743	1	28	0.4
744	1	33	0.4
745	1	39	0.4
746	1	49	0.4
747	1	45	0.4
748	1	47	0.3
749	1	38	0.3
750	1	30	0.6
751	1	18	0.5
752	1	67	0.5
753	1	50	0.4
754	1	49	0.5
755	1	60	0.4
756	1	77	0.4
757	1	35	0.4
758	1	58	0.6
759	1	84	0.6
760	1	77	0.7
761	1	38	0.4
762	1	53	0.5
763	1	65	0.5
764	1	13	0.4
765	1	9	0.3
766	1	32	0.5
767	1	25	0.3
768	1	56	0.4
769	1	35	0.5
770	1	15	0.4
771	1	23	0.5
772	1	25	0.5
773	1	71	0.6
774	1	27	0.4
775	1	56	0.6
776	1	16	0.2
777	1	53	0.5
778	1	29	0.5
779	1	14	0.6
780	1	74	0.6
781	1	64	0.5
782	1	38	0.3
783	1	50	0.4
784	1	15	0.3
785	1	26	0.3
786	1	31	0.4
787	1	110	1.2
788	1	35	0.3
789	1	75	0.6
790	1	53	0.5
791	1	47	0.6
792	1	61	0.6
793	1	25	0.3
794	1	56	0.5
795	1	20	0.2
796	1	27	0.4
797	1	28	0.4
798	1	41	0.6
799	1	64	0.9
800	1	46	0.4
801	1	43	0.6
802	1	50	0.5
803	1	65	0.8
804	1	67	0.7
805	1	14	0.1
806	1	80	0.7
807	1	30	0.5
808	1	11	0.6
809	1	40	0.5
810	1	107	1.2
811	1	76	0.8
812	1	43	0.4
813	1	66	0.5
814	1	121	1.1
815	1	38	0.3
816	1	83	0.9
817	1	25	0.4
818	1	60	0.6
819	1	34	0.5
820	1	33	0.4
821	1	44	0.4
822	1	35	0.3
823	1	82	0.9
824	1	63	0.5
825	1	56	0.6
826	1	89	1
827	1	70	0.6
828	1	25	0.2
829	1	51	0.4
830	1	7	0.2
831	1	38	0.2
832	1	76	0.9
833	1	15	0.4
834	1	62	0.5
835	1	53	0.4
836	1	79	0.9
837	1	22	0.5
838	1	37	0.5
839	1	48	0.5
840	1	11	0.2
841	1	12	0.3
842	1	35	0.4
843	1	106	1
844	1	44	0.5
845	1	53	0.4
846	1	25	0.5
847	1	22	0.4
848	1	66	0.6
849	1	24	0.3
850	1	38	0.4
851	1	63	0.5
852	1	8	0.2
853	1	12	0.2
854	1	13	0.2
855	1	115	0.9
856	1	22	0.5
857	1	54	0.2
858	1	77	0.5
859	1	62	0.3
860	1	64	0.5
861	1	47	0.6
862	1	28	0.2
863	1	6	0.3
864	1	28	0.5
865	1	31	0.5
866	1	34	0.4
867	1	12	0.2
868	1	10	0.3
869	1	35	0.3
870	1	18	0.4
871	1	69	0.9
872	1	28	0.3
873	1	41	0.5
874	1	52	0.4
875	1	48	0.3
876	1	30	0.2
877	1	6	0.3
878	1	37	0.5
879	1	19	0.3
880	1	10	0.5
881	1	18	0.4
882	1	54	0.5
883	1	8	0.2
884	1	31	0.5
885	1	25	0.9
886	1	11	0.3
887	1	11	0.4
888	1	101	1
889	1	73	0.9
890	1	83	0.7
891	1	52	0.9
892	1	28	0.4
893	1	36	0.4
894	1	25	0.5
895	1	25	0.5
896	1	85	0.8
897	1	94	0.7
898	1	82	0.6
899	1	108	0.9
900	1	45	0.6
901	1	63	0.5
902	1	109	0.7
903	1	36	0.5
904	1	40	0.4
905	1	42	0.4
906	1	26	0.4
907	1	70	0.6
908	1	16	0.4
909	1	76	0.5
910	1	65	0.7
911	1	12	0.4
912	1	123	1.1
913	1	50	0.4
914	1	19	0.3
915	1	46	0.4
916	1	102	0.9
917	1	75	0.6
918	1	25	0.5
919	1	28	0.3
920	1	20	0.3
921	1	110	0.7
922	1	63	0.7
923	1	90	0.5
924	1	80	0.5
925	1	20	0.3
926	1	85	0.4
927	1	25	0.5
928	1	105	0.5
929	1	31	0.4
930	1	63	0.4
931	1	68	0.9
932	1	116	0.9
933	1	62	0.6
934	1	65	0.4
935	1	105	0.6
936	1	45	0.4
937	1	43	0.3
938	1	85	0.5
939	1	38	0.3
940	1	95	1
941	1	150	1
942	1	104	0.7
943	1	62	0.3
944	1	74	0.9
945	1	130	1
946	1	33	0.2
947	1	29	0.2
948	1	129	1
949	1	148	1
950	1	45	0.4
951	1	55	0.8
952	1	62	0.5
953	1	41	0.5
954	1	35	0.4
955	1	10	0.2
956	1	15	0.2
957	1	32	0.5
958	1	68	0.6
959	1	77	0.6
960	1	55	0.5
961	1	33	0.4
962	1	42	0.6
963	1	51	0.6
964	1	12	0.3
965	1	40	0.5
966	1	16	0.2
967	1	48	0.4
968	1	15	0.2
969	1	39	0.8
970	1	33	0.6
971	1	35	0.5
972	1	25	0.4
973	1	31	0.5
974	1	88	0.7
975	1	52	0.6
976	1	54	1
977	1	32	0.6
978	1	64	0.5
979	1	97	0.7
980	1	56	0.4
981	1	71	0.6
982	1	48	0.6
983	1	44	0.4
984	1	25	0.5
985	1	52	0.4
986	1	21	0.4
987	1	92	0.7
988	1	30	0.4
989	1	103	1.2
990	1	33	0.4
991	1	22	0.6
992	1	130	1.3
993	1	34	0.5
994	1	105	1.2
995	1	65	0.4
996	1	40	0.6
997	1	19	0.7
998	1	63	0.5
999	1	33	0.4
1000	1	26	0.4
1001	1	40	0.7
1002	1	35	0.4
1003	1	40	0.4
1004	1	15	0.4
1005	1	45	0.5
1006	1	27	0.4
1007	1	50	0.5
1008	1	61	0.7
1009	1	29	0.4
1010	1	30	0.4
1011	1	48	0.4
1012	1	43	0.5
1013	1	41	0.3
1014	1	41	0.3
1015	1	52	0.5
1016	1	101	1.1
1017	1	52	0.6
1018	1	32	0.4
1019	1	33	0.3
1020	1	84	0.7
1021	1	112	1.1
1022	1	30	0.4
1023	1	32	0.4
1024	1	32	0.7
1025	1	37	0.6
1026	1	33	0.4
1027	1	25	0.3
1028	1	33	0.3
1029	1	21	0.3
1030	1	18	0.2
1031	1	23	0.2
1032	1	33	0.4
1033	1	35	0.3
1034	1	53	0.5
1035	1	23	0.4
1036	1	42	0.3
1037	1	30	0.3
1038	1	45	0.6
1039	1	92	1.1
1040	1	24	0.4
1041	1	33	0.4
1042	1	40	0.5
1043	1	3	0.4
1044	1	78	0.8
1045	1	57	0.5
1046	1	80	0.7
1047	1	82	0.7
1048	1	24	0.4
1049	1	20	0.2
1050	1	73	0.8
1051	1	93	1.2
1052	1	33	0.3
1053	1	21	0.4
1054	1	41	0.5
1055	1	25	0.3
1056	1	104	0.9
1057	1	110	0.9
1058	1	60	0.6
1059	1	54	0.5
1060	1	82	0.5
1061	1	32	0.4
1062	1	18	0.3
1063	1	25	0.3
1064	1	64	0.8
1065	1	125	1
1066	1	74	1.3
1067	1	76	0.8
1068	1	35	0.5
1069	1	54	0.5
1070	1	90	0.7
1071	1	29	0.4
1072	1	5	0.4
1073	1	37	0.2
1074	1	81	0.3
1075	1	22	0.3
1076	1	NaN	0.6
1077	1	22	0.5
1078	1	24	0.3
1079	1	44	0.4
1080	1	26	0.4
1081	1	26	0.3
1082	1	54	0.4
1083	1	14	0.3
1084	1	28	0.4
1085	1	40	0.3
1086	1	24	0.4
1087	1	25	0.4
1088	1	28	0.6
1089	1	30	0.6
1090	1	10	0.5
1091	1	37	0.4
1092	1	51	0.5
1093	1	18	0.2
1094	1	24	0.4
1095	1	80	0.9
1096	1	45	0.5
1097	1	51	0.5
1098	1	75	0.7
1099	1	13	0.2
1100	1	47	0.5
1101	1	23	0.3
1102	1	84	0.8
1103	1	75	0.8
1104	1	38	0.5
1105	1	22	0.3
1106	1	32	0.5
1107	1	36	0.6
1108	1	45	0.6
1109	1	74	1.1
1110	1	25	0.4
1111	1	30	0.3
1112	1	10	0.1
1113	1	33	0.5
1114	0	104	3
1115	1	18	0.2
1116	1	30	0.3
1117	1	38	0.2
1118	1	96	0.7
1119	1	60	0.6
1120	1	14	0.2
1121	1	32	0.4
1122	1	57	0.6
1123	1	75	0.6
