area	repeticao	data	ano	tratamento	M. albicans
CNQ	24	EC	2009	S	0
CNQ	25	EC	2009	S	0
CNQ	26	EC	2009	S	0
CNQ	27	EC	2009	S	0
CNQ	28	EC	2009	S	0
CNQ	29	EC	2009	S	0
CNQ	30	EC	2009	S	0
CNQ	1	ES	2009	P1	33
CNQ	2	ES	2009	P1	61
CNQ	3	ES	2009	P1	27
CNQ	4	ES	2009	P1	0
CNQ	5	ES	2009	P1	21
CNQ	6	ES	2009	P1	39
CNQ	7	ES	2009	P1	4
CNQ	8	ES	2009	P1	35
CNQ	9	ES	2009	P1	18
CNQ	10	ES	2009	P1	20
CNQ	11	ES	2009	P1	27
CNQ	12	ES	2009	P1	23
CNQ	13	ES	2009	P1	23
CNQ	14	ES	2009	P1	15
CNQ	15	ES	2009	P1	12
CNQ	16	ES	2009	P1	10
CNQ	17	ES	2009	P1	12
CNQ	18	ES	2009	P1	1
CNQ	19	ES	2009	P1	17
CNQ	20	ES	2009	P1	5
CNQ	21	ES	2009	P1	6
CNQ	22	ES	2009	P1	10
CNQ	23	ES	2009	P1	8
CNQ	24	ES	2009	P1	5
CNQ	25	ES	2009	P1	24
CNQ	26	ES	2009	P1	32
CNQ	27	ES	2009	P1	9
CNQ	28	ES	2009	P1	17
CNQ	29	ES	2009	P1	45
CNQ	30	ES	2009	P1	15
CNQ	1	ES	2009	P2	25
CNQ	2	ES	2009	P2	21
CNQ	3	ES	2009	P2	9
CNQ	4	ES	2009	P2	7
CNQ	5	ES	2009	P2	29
CNQ	6	ES	2009	P2	39
CNQ	7	ES	2009	P2	10
CNQ	8	ES	2009	P2	12
CNQ	9	ES	2009	P2	16
CNQ	10	ES	2009	P2	22
CNQ	11	ES	2009	P2	10
CNQ	12	ES	2009	P2	13
CNQ	13	ES	2009	P2	12
CNQ	14	ES	2009	P2	6
CNQ	15	ES	2009	P2	8
CNQ	16	ES	2009	P2	9
CNQ	17	ES	2009	P2	19
CNQ	18	ES	2009	P2	6
CNQ	19	ES	2009	P2	15
CNQ	20	ES	2009	P2	10
CNQ	21	ES	2009	P2	2
CNQ	22	ES	2009	P2	6
CNQ	23	ES	2009	P2	9
CNQ	24	ES	2009	P2	7
CNQ	25	ES	2009	P2	16
CNQ	26	ES	2009	P2	17
CNQ	27	ES	2009	P2	12
CNQ	28	ES	2009	P2	20
CNQ	29	ES	2009	P2	14
CNQ	30	ES	2009	P2	12
CNQ	1	ES	2009	S	0
CNQ	2	ES	2009	S	0
CNQ	3	ES	2009	S	0
CNQ	4	ES	2009	S	0
CNQ	5	ES	2009	S	0
CNQ	6	ES	2009	S	10
CNQ	7	ES	2009	S	3
CNQ	8	ES	2009	S	0
CNQ	9	ES	2009	S	0
CNQ	10	ES	2009	S	0
CNQ	11	ES	2009	S	0
CNQ	12	ES	2009	S	0
